date,canada,usa,russia,kazakhstan,iran,china,malaysia,others
2019-09-01,0.0109,0.0406,0.0593,0.0142,0.0174,0.7553,0.0325,0.0698000000000001
2019-10-01,0,0.0558,0.0587,0,0.0177,0.7478,0.0387,0.0813
2019-11-01,0,0.0658,0.0624,0,0.016,0.7233,0.0366,0.0959000000000001
2019-12-01,0,0.0387,0.0623,0,0.0271,0.7346,0.0392,0.0981000000000001
2020-01-01,0,0.0344,0.0605,0,0.032,0.7269,0.0413,0.1049
2020-02-01,0,0.0454,0.0556,0.0326,0,0.7289,0.0394,0.0981000000000001
2020-03-01,0,0.0707,0.0597,0.0562,0,0.6706,0.0411,0.1017
2020-04-01,0,0.0724,0.069,0.0617,0,0.6481,0.0433,0.1055
2020-05-01,0,0.0822,0.0934,0.052,0,0.5948,0.0521,0.1255
2020-06-01,0,0.067,0.0825,0.0486,0,0.6467,0.0546,0.1006
2020-07-01,0,0.0509,0.0808,0.0458,0,0.6686,0.0562,0.0977
2020-08-01,0,0.042,0.0817,0.0457,0,0.6686,0.0623,0.0997
2020-09-01,0,0.0708,0.0574,0.0409,0,0.6712,0.0448,0.1149
2020-10-01,0,0.0671,0.049,0.0359,0,0.6738,0.0412,0.133
2020-11-01,0,0.0938,0.0677,0.0477,0,0.5558,0.0527,0.1823
2020-12-01,0,0.1041,0.0716,0.0535,0,0.5327,0.0529,0.1852
2021-01-01,0,0.1055,0.0691,0.0617,0,0.533,0.0518,0.1789
2021-02-01,0,0.1337,0.0643,0.0671,0,0.5158,0.0466,0.1725
2021-03-01,0,0.1612,0.0647,0.0765,0.0467,0.4906,0.0366,0.1237
2021-04-01,0.03,0.1685,0.0684,0.0819,0.0464,0.4604,0.0344,0.11
2021-05-01,0.0474,0.1777,0.0719,0.0737,0.043,0.4398,0.0324,0.1141
2021-06-01,0.0598,0.2181,0.089,0.088,0.0343,0.3425,0.0379,0.1304
2021-07-01,0.1083,0.3512,0.119,0.1379,0.0381,0,0.0539,0.1916
2021-08-01,0.0955,0.354,0.1123,0.181,0.0311,0,0.0459,0.1802
2021-09-01,0.0689,0.2769,0.068,0.1772,0,0.2229,0.0472,0.1389
2021-10-01,0.0688,0.3157,0.068,0.1831,0,0.1809,0.0371,0.1464
2021-11-01,0.0636,0.3473,0.0651,0.1608,0,0.1812,0.0355,0.1465
2021-12-01,0.0678,0.3745,0.0472,0.1403,0,0.1914,0,0.1788
2022-01-01,0.0648,0.3784,0.0466,0.1322,0,0.2111,0.0251,0.1418
