,Average electricity cost assumption: 0.05 USD/kWh,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1279411200,2010-07-18T00:00:00,2.66617531613614E-05,2.24403089108125E-05,2.4439939527451E-05,0.000233716928212494,0.000196711747912182,0.000214240509897635
1279497600,2010-07-19T00:00:00,2.68167639433529E-05,2.25707763189887E-05,2.45820327392157E-05,0.000235075752727431,0.000197855425212255,0.000215486098991965
1279584000,2010-07-20T00:00:00,2.72301243110165E-05,2.29186879617722E-05,2.49609463960784E-05,0.00023869926971037,0.000200905218672895,0.000218807656108024
1279670400,2010-07-21T00:00:00,2.84443707130871E-05,2.3940678683515E-05,2.60740055583333E-05,0.000249343353670922,0.000209863989339693,0.00022856473272435
1279756800,2010-07-22T00:00:00,2.82118554848058E-05,2.37449783663782E-05,2.58608666066667E-05,0.000247305125179807,0.000208148480359671,0.00022669635667404
1279843200,2010-07-23T00:00:00,2.85218759609456E-05,2.40059122671292E-05,2.61450520330065E-05,0.000250022764673649,0.000210435826933655,0.000229187526121335
1279929600,2010-07-24T00:00:00,2.86325974164298E-05,2.40991028254951E-05,2.62465466969188E-05,0.000250993348952423,0.00021125273536829,0.00023007722834519
1280016000,2010-07-25T00:00:00,2.9939112202459E-05,2.5198752770403E-05,2.74441852081233E-05,0.000262446257566755,0.000220892266785352,0.000240575727534408
1280102400,2010-07-26T00:00:00,3.14670694904928E-05,2.64847834878314E-05,2.88448126722689E-05,0.00027584033115366,0.00023216561205433,0.000252853627885109
1280188800,2010-07-27T00:00:00,3.2342713968739E-05,2.7221784257022E-05,2.96474867487395E-05,0.000283516230649966,0.000238626160797055,0.00025988986883945
1280275200,2010-07-28T00:00:00,3.24952407876168E-05,2.73501609962441E-05,2.97873029943978E-05,0.000284853280744249,0.000239751511293076,0.000261115498048891
1280361600,2010-07-29T00:00:00,3.39598031557457E-05,2.85828343227526E-05,3.11298184507003E-05,0.000297691634463267,0.000250557125673249,0.000272883988538839
