Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,Date,Price,Returns,Energy_TWh_Annual,canada,usa,russia,kazakhstan,iran,china,malaysia,others,weighted_elec_price,daily_energy_twh,daily_cost_usd,cumulative_cost_usd,btc_supply,Market_Cap,CEIR,log_CEIR,post_china_ban,YearMonth,fear_greed
01-Jan-2018,"13,500.75","13,534.75","14,260.00","12,801.62","13,921.22","63,489",-855.06,2018-01-01,13517.75,,36.7950512819092,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10080835967646357,4981949.135210831,4981949.135210831,16413000.0,221866830750.0,44534.14210552971,10.704011412303977,0,2018-01,
02-Jan-2018,"14,767.66","14,802.00","15,303.62","12,910.58","13,500.75","58,004","+1,266.91",2018-01-02,14784.83,9.373453422352096,36.9645251843373,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10127267173791041,5004895.437287534,9986844.572498364,16414800.0,242690027484.0,24300.971715562337,10.098271616823876,0,2018-01,
03-Jan-2018,"15,027.05","15,074.97","15,401.76","14,538.55","14,780.86","56,505",+259.39,2018-01-03,15051.009999999998,1.8003588813669147,37.2159417164804,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10196148415474082,5038936.546927293,15025781.119425658,16416600.0,247086410765.99997,16444.16412046368,9.707725928536176,0,2018-01,
04-Jan-2018,"14,893.34","14,900.00","15,429.11","14,174.73","15,027.10","58,810",-133.71,2018-01-04,14896.67,-1.0254461328508713,37.4856629940503,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10270044655904192,5075456.0689478535,20101237.188373514,16418400.0,244579486728.0,12167.38474532622,9.406514269324651,0,2018-01,
05-Jan-2018,"16,555.04","16,563.03","16,571.03","14,809.00","14,949.47","53,151","+1,661.70",2018-01-05,16559.035,11.159306073102249,37.8028523313763,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10356945844212685,5118402.636209911,25219639.824583426,16420200.0,271902666507.0,10781.385792907186,9.285576388418596,0,2018-01,
08-Jan-2018,"14,938.37","14,960.41","16,500.00","13,905.00","15,850.01","68,118","-1,616.67",2018-01-08,14949.39,-9.720644953042257,39.026543612112,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10692203729345753,5284087.083042673,30503726.9076261,16425600.0,245552700384.0,8049.924559303948,8.993417998853658,0,2018-01,
09-Jan-2018,"14,510.13","14,515.00","15,376.52","14,132.22","14,938.37","55,570",-428.24,2018-01-09,14512.564999999999,-2.9220255809768836,39.4402789802126,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10805555884989752,5340105.718361937,35843832.62598804,16427400.0,238403710280.99997,6651.177980006215,8.802549257813048,0,2018-01,
10-Jan-2018,"14,491.36","14,524.70","14,748.45","13,412.00","14,510.14","60,173",-18.77,2018-01-10,14508.03,-0.031248783381832013,39.8440130152441,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.10916167949381946,5394770.200584559,41238602.8265726,16429200.0,238355326476.0,5779.907905182783,8.662143028180106,0,2018-01,
11-Jan-2018,"13,463.52","13,466.53","14,985.60","12,801.00","14,505.06","57,907","-1,027.84",2018-01-11,13465.025000000001,-7.1891566256755635,40.2397317186025,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.11024584032493835,5448349.428858454,46686952.25543105,16431000.0,221243825775.00003,4738.879174732657,8.46355592570094,0,2018-01,
12-Jan-2018,"13,763.00","13,774.36","14,150.00","12,807.27","13,464.11","54,000",+299.48,2018-01-12,13768.68,2.2551387761998054,40.6372987820845,0.03,0.05,0.05,0.02,0.03,0.7,0.02,0.1,0.04942000000000001,0.1113350651563959,5502178.920029087,52189131.17546014,16432800.0,226257964704.0,4335.346452565373,8.374556805874825,0,2018-01,
